month,member_casual,total_rides,percent
June 2025,casual,56,0.0
June 2025,member,27,0.0
July 2025,casual,322505,5.44
July 2025,member,439965,7.42
August 2025,casual,337246,5.69
August 2025,member,452355,7.63
September 2025,casual,264772,4.47
September 2025,member,449202,7.58
October 2025,casual,223569,3.77
October 2025,member,421921,7.12
November 2025,casual,98871,1.67
November 2025,member,257292,4.34
December 2025,casual,28005,0.47
December 2025,member,112415,1.9
January 2026,casual,24656,0.42
January 2026,member,112933,1.91
February 2026,casual,41088,0.69
February 2026,member,160251,2.7
March 2026,casual,87631,1.48
March 2026,member,229121,3.87
April 2026,casual,131223,2.21
April 2026,member,316675,5.34
May 2026,casual,244654,4.13
May 2026,member,408510,6.89
June 2026,casual,307827,5.19
June 2026,member,453983,7.66
