hour_of_day,member_casual,total_rides
0,casual,43111
0,member,35220
1,casual,28120
1,member,21479
2,casual,18247
2,member,12859
3,casual,10171
3,member,8372
4,casual,8213
4,member,9392
5,casual,12864
5,member,37010
6,casual,28318
6,member,108296
7,casual,52055
7,member,215413
8,casual,74722
8,member,278840
9,casual,73086
9,member,176520
10,casual,88135
10,member,150928
11,casual,112678
11,member,176281
12,casual,133913
12,member,201125
13,casual,138695
13,member,197839
14,casual,145339
14,member,200475
15,casual,161703
15,member,254106
16,casual,186052
16,member,360904
17,casual,201168
17,member,411479
18,casual,172826
18,member,319773
19,casual,129774
19,member,221639
20,casual,93965
20,member,154530
21,casual,80184
21,member,120194
22,casual,69072
22,member,87450
23,casual,49692
23,member,54526
