member_casual,ride_length_minutes
member,44
member,37
member,37
casual,62
member,83
casual,35
member,50
member,50
casual,37
member,52
member,39
member,47
member,53
casual,33
member,40
casual,40
member,38
casual,33
casual,74
member,67
casual,48
casual,31
casual,74
casual,50
member,31
casual,54
casual,62
casual,44
casual,32
member,36
casual,34
member,60
casual,45
casual,46
casual,33
casual,33
casual,56
casual,44
member,82
member,98
casual,60
casual,162
member,41
member,35
member,44
member,31
casual,71
member,36
member,35
member,52
casual,32
casual,88
casual,43
casual,33
casual,32
casual,34
member,43
member,50
member,34
casual,32
casual,31
casual,32
member,36
member,74
casual,47
casual,42
casual,76
member,45
member,37
member,33
casual,56
casual,103
member,56
casual,54
casual,35
member,39
casual,140
casual,65
member,37
casual,50
casual,126
member,32
member,64
member,34
member,54
casual,46
member,31
member,287
member,32
member,53
member,40
member,43
casual,36
member,50
casual,32
member,31
casual,35
member,48
casual,63
casual,31
casual,37
member,47
member,45
casual,38
casual,32
casual,95
casual,55
casual,32
casual,57
member,34
casual,40
casual,63
member,38
casual,56
member,47
member,33
member,33
member,35
member,42
member,85
member,36
member,40
casual,36
casual,35
casual,36
member,47
member,33
casual,62
casual,50
casual,32
member,33
member,52
member,36
casual,32
casual,42
casual,44
member,44
casual,37
member,190
member,73
member,68
casual,69
casual,52
member,50
member,39
casual,33
member,42
member,37
member,44
member,41
casual,42
member,98
casual,31
casual,53
member,33
member,39
member,120
member,43
casual,41
casual,40
casual,98
member,48
casual,31
member,50
casual,34
member,45
casual,44
member,48
casual,745
casual,42
member,40
member,33
member,37
casual,33
member,98
member,36
casual,32
member,53
casual,32
casual,41
member,43
casual,124
casual,35
casual,44
casual,46
member,136
member,44
casual,68
casual,52
casual,31
member,51
casual,35
member,35
member,54
member,67
casual,31
casual,35
casual,41
member,86
member,40
casual,34
member,57
member,47
member,36
member,52
member,58
member,31
member,52
member,41
member,32
member,45
casual,41
member,45
member,120
member,31
casual,31
member,34
casual,142
member,31
casual,136
member,38
member,32
casual,33
casual,50
member,36
member,72
casual,37
member,61
casual,36
casual,33
member,308
member,34
member,36
member,36
casual,32
member,33
casual,33
member,31
member,36
member,38
casual,34
member,36
member,32
member,37
casual,46
casual,56
casual,55
member,31
member,31
casual,58
member,31
member,35
member,34
member,37
member,38
member,36
casual,32
casual,34
member,37
member,31
member,47
casual,55
member,50
casual,138
member,48
member,35
casual,75
casual,39
member,33
member,39
member,35
casual,53
member,34
member,49
casual,45
member,60
member,45
casual,62
casual,33
member,98
member,39
casual,34
member,59
member,40
member,88
member,33
casual,36
member,40
casual,37
member,34
casual,33
casual,38
member,31
casual,64
casual,39
member,43
member,35
casual,176
member,42
member,40
casual,31
member,37
member,34
member,39
casual,51
casual,31
member,44
member,31
casual,47
casual,39
member,33
casual,34
member,43
casual,47
casual,66
casual,49
member,32
member,39
casual,201
casual,77
member,31
member,34
member,33
member,37
member,39
casual,71
casual,98
casual,499
casual,68
casual,46
casual,43
member,47
member,31
member,47
member,41
member,33
casual,35
member,39
casual,34
member,40
member,60
member,54
member,39
casual,62
member,35
casual,41
member,37
casual,60
member,42
member,37
casual,77
member,46
member,46
casual,41
casual,78
member,32
member,46
casual,70
member,39
casual,38
casual,62
member,32
member,32
casual,35
member,31
member,45
casual,63
member,33
member,59
casual,34
casual,31
member,37
casual,114
member,34
casual,51
member,35
member,38
casual,57
member,31
casual,36
casual,42
casual,45
member,42
member,48
member,56
casual,35
casual,144
member,35
member,31
casual,43
member,33
member,31
member,43
casual,33
member,46
casual,32
member,54
casual,42
member,36
member,188
member,35
member,38
casual,52
member,39
casual,55
casual,89
member,35
casual,94
casual,80
member,32
member,35
member,31
casual,32
member,33
casual,60
casual,65
member,45
member,31
member,44
member,33
casual,49
member,52
casual,36
casual,40
member,42
casual,40
casual,77
member,31
casual,40
member,35
casual,34
member,33
member,41
member,31
casual,48
member,31
member,33
casual,45
casual,39
casual,58
member,36
member,92
member,63
casual,35
casual,44
member,50
casual,1159
member,58
casual,36
member,41
member,58
member,34
casual,184
member,42
casual,48
casual,63
member,45
casual,62
casual,34
casual,39
casual,49
member,40
member,34
member,41
member,38
casual,35
casual,35
member,34
casual,31
casual,43
casual,58
member,42
member,39
casual,43
member,52
casual,42
member,31
casual,40
member,70
casual,209
casual,33
member,31
casual,111
member,34
casual,45
casual,42
casual,62
member,35
member,40
member,138
casual,44
member,45
member,45
member,45
casual,48
casual,66
member,32
casual,37
casual,83
member,77
casual,38
member,143
member,48
member,52
member,46
casual,84
member,31
casual,44
member,35
member,42
member,34
member,37
member,43
member,31
member,32
member,172
casual,31
member,47
member,33
casual,85
member,37
member,44
member,39
member,35
member,31
member,51
member,42
casual,150
member,58
member,33
member,41
member,32
member,67
member,36
member,50
casual,61
casual,39
casual,38
casual,49
